run_timestamp,product_id,retailer,location,engine1_price,engine2_price,engine3_multiplier,engine4_multiplier,final_price,confidence,supply_risk,inventory_pressure,market_pressure
2026-06-14 20:37:03,SKU_1000,Reliance Retail,Mumbai,12.94,19.617,1.014,1.005,15.3,0.9705,0.134,-0.138,0.607
2026-06-14 20:40:31,SKU_1056,Bigbasket,Delhi,9.07,13.754,0.983,1.063,11.7,0.9723,0.939,0.112,0.674
2026-06-14 20:57:19,SKU_1000,Reliance Retail,Mumbai,12.94,19.617,1.014,1.005,15.3,0.9705,0.134,-0.138,0.607
2026-06-14 21:05:36,SKU_1000,Reliance Retail,Mumbai,12.94,19.617,1.014,1.005,15.3,0.9705,0.134,-0.138,0.607
2026-06-14 21:08:27,SKU_1020,Reliance Retail,Mumbai,27.92,44.187,1.024,1.038,34.05,0.9743,0.234,-0.243,0.758
2026-06-14 21:09:16,SKU_1043,Reliance Retail,Mumbai,26.35,42.081,1.022,1.005,33.0,0.9711,0.254,-0.22,0.457
2026-06-14 21:10:05,SKU_1000,Reliance Retail,Mumbai,12.94,19.617,1.014,1.005,15.3,0.9705,0.134,-0.138,0.607
